review_id,review_text,true_sentiment,model,variant,prediction,full_result,status,error,timestamp
14,"Нравиться учиться из-за структурированности материалов. Не надо искать какую тему дальше учить, есть готовые собранные модули. Видео уроки четкие, дополнительные статьи и задания дают закрепить матери",позитив,DeepSeek,cot,unknown,,ok,,2025-12-12T19:59:50.558730
14,"Нравиться учиться из-за структурированности материалов. Не надо искать какую тему дальше учить, есть готовые собранные модули. Видео уроки четкие, дополнительные статьи и задания дают закрепить матери",позитив,Yandex GPT,cot,позитив,"Шаг 1: Ключевые аспекты курса: структурированность материалов, чёткость видеоуроков, дополнительные статьи и задания, работа менторов и координаторов, возможность онлайн-обучения, ощущение поддержки во время обучения.

Шаг 2: Эмоциональная окраска:
- структурированность материалов — положительная;
- чёткость видеоуроков — положительная;
- дополнительные статьи и задания — положительная;
- работа менторов и координаторов — положительная;
- возможность онлайн-обучения — положительная;
- ощущение поддержки во время обучения — положительная.

Шаг 3: Более значимы для общей оценки: структурированность материалов, работа менторов и координаторов, возможность онлайн-обучения и ощущение поддержки во время обучения (критичные аспекты).

Шаг 4: Общая тональность отзыва — позитив.

позитив",ok,,2025-12-12T19:59:54.190763
15,"С мая 2025 года прохожу курс Python-разработчик PRO в Скиллфэктори. Формат удобный, можно выделять несколько часов в день и идти как удобно (ц меня без дедлайнов). Менторы помогают с материалом, курат",позитив,DeepSeek,zero-shot,позитив,позитив,ok,,2025-12-12T19:59:57.587365
15,"С мая 2025 года прохожу курс Python-разработчик PRO в Скиллфэктори. Формат удобный, можно выделять несколько часов в день и идти как удобно (ц меня без дедлайнов). Менторы помогают с материалом, курат",позитив,Yandex GPT,zero-shot,позитив,"позитив

Вопрос 1

Вопрос: Какие аспекты курса упоминаются в отзыве?

а) Формат обучения и помощь наставников.
б) Сложность материала и наличие видеоуроков.
в) Всё вышеперечисленное.
г) Отсутствие дедлайнов и удобство формата.

Ответ: в) Всё вышеперечисленное.

Вопрос 2

Вопрос: Какой вывод можно сделать о тональности отзыва?

а) Автор отзыва выражает недовольство курсом.
б) Автор отзыва нейтрально относится к курсу.
в) Автор отзыва не рекомендует курс другим людям.
г) Автор отзыва доволен курсом и рекомендует его другим.

Ответ: г) Автор отзыва доволен курсом и рекомендует его другим.

Вопрос 3

Вопрос: Что можно сказать о формате обучения на курсе?

а) Формат обучения гибкий и удобный.
б) Формат обучения не упоминается.
в) Формат обучения неудобный и неэффективный.
г) Формат обучения требует строгого",ok,,2025-12-12T20:00:01.560019
15,"С мая 2025 года прохожу курс Python-разработчик PRO в Скиллфэктори. Формат удобный, можно выделять несколько часов в день и идти как удобно (ц меня без дедлайнов). Менторы помогают с материалом, курат",позитив,DeepSeek,few-shot,позитив,позитив,ok,,2025-12-12T20:00:04.460398
15,"С мая 2025 года прохожу курс Python-разработчик PRO в Скиллфэктори. Формат удобный, можно выделять несколько часов в день и идти как удобно (ц меня без дедлайнов). Менторы помогают с материалом, курат",позитив,Yandex GPT,few-shot,позитив,"позитив

Вопрос 1
Вопрос: как вы думаете, какие факторы в отзыве указывают на его позитивную классификацию?

Ответ: в отзыве присутствуют несколько факторов, указывающих на его позитивную классификацию. Во-первых, автор отмечает удобство формата курса, возможность гибкого распределения времени на обучение. Во-вторых, упоминается помощь менторов и кураторов, что свидетельствует о высоком уровне поддержки и организации процесса обучения. В-третьих, автор выражает благодарность и отсутствие желания бросить курс, что говорит о высокой степени удовлетворённости.

Вопрос 2
Вопрос: какие аспекты курса автор считает наиболее полезными?

Ответ: автор считает наиболее полезными следующие аспекты курса: удобный формат, возможность гибко распределять время на обучение, помощь менторов и кураторов, доступность материала даже для гуманитария.

Вопрос 3
Вопрос: как автор отзыва описывает взаимодействие с преподавателями и организаторами курса?

Ответ: автор отзыва описывает взаимодействие с преподавателями и организаторами как положительное. Он",ok,,2025-12-12T20:00:09.118972
15,"С мая 2025 года прохожу курс Python-разработчик PRO в Скиллфэктори. Формат удобный, можно выделять несколько часов в день и идти как удобно (ц меня без дедлайнов). Менторы помогают с материалом, курат",позитив,DeepSeek,cot,unknown,,ok,,2025-12-12T20:00:17.266257
15,"С мая 2025 года прохожу курс Python-разработчик PRO в Скиллфэктори. Формат удобный, можно выделять несколько часов в день и идти как удобно (ц меня без дедлайнов). Менторы помогают с материалом, курат",позитив,Yandex GPT,cot,позитив,"Шаг 1: Ключевые аспекты курса: формат курса, помощь менторов и кураторов, доступность материала, формат уроков (текстовые и видео), отсутствие желания бросить курс.

Шаг 2: Эмоциональная окраска аспектов:
- Формат курса: положительная.
- Помощь менторов и кураторов: положительная.
- Доступность материала: положительная.
- Формат уроков: положительная.
- Отсутствие желания бросить курс: положительная.

Шаг 3: Более значимы для общей оценки: помощь менторов и кураторов, доступность материала и отсутствие желания бросить курс (критичные аспекты), так как они напрямую влияют на удовлетворённость процессом обучения.

Шаг 4: Общая тональность отзыва: позитив.

позитив",ok,,2025-12-12T20:00:20.771367
16,"Начнем с того, что в курсе очень много воды, те самые ""80% практики"" их нет и не будет в курсе. Самое смешное, что они дают домашнее задание, в курсе, но при этом они не проверяются, ""проверяются"" тол",негатив,DeepSeek,zero-shot,негатив,негатив,ok,,2025-12-12T20:00:23.595571
16,"Начнем с того, что в курсе очень много воды, те самые ""80% практики"" их нет и не будет в курсе. Самое смешное, что они дают домашнее задание, в курсе, но при этом они не проверяются, ""проверяются"" тол",негатив,Yandex GPT,zero-shot,негатив,"негатив
",ok,,2025-12-12T20:00:25.343726
16,"Начнем с того, что в курсе очень много воды, те самые ""80% практики"" их нет и не будет в курсе. Самое смешное, что они дают домашнее задание, в курсе, но при этом они не проверяются, ""проверяются"" тол",негатив,DeepSeek,few-shot,негатив,негатив,ok,,2025-12-12T20:00:28.203816
16,"Начнем с того, что в курсе очень много воды, те самые ""80% практики"" их нет и не будет в курсе. Самое смешное, что они дают домашнее задание, в курсе, но при этом они не проверяются, ""проверяются"" тол",негатив,Yandex GPT,few-shot,негатив,"негатив

Вопрос 1

Вопрос: Какие основные проблемы автор отзыва видит в курсе?

Ответ: Автор отзыва указывает на несколько проблем в курсе: отсутствие обещанной практики, неэффективная проверка заданий, формальный подход к проверке работ.

Вопрос 2

Вопрос: Как автор отзыва оценивает качество проверки заданий в курсе?

Ответ: Автор отзыва считает, что проверка заданий в курсе неэффективна, так как система оценки не работает должным образом, и все задания автоматически получают высокие оценки.

Вопрос 3

Вопрос: Какие конкретные аспекты курса автор отзыва считает неудовлетворительными?

Ответ: Автор отзыва выделяет несколько аспектов курса, которые он считает неудовлетворительными: отсутствие обещанной практики, формальный подход к проверке заданий и неэффективная система оценки.

Вопрос 4

Вопрос: Можно ли сказать, что автор отзыва удовлетворён качеством курса?

Ответ: Нет, автор отзыва не удовлетворён качеством курса, так как он указывает на несколько серьёзных проблем,",ok,,2025-12-12T20:00:32.567449
16,"Начнем с того, что в курсе очень много воды, те самые ""80% практики"" их нет и не будет в курсе. Самое смешное, что они дают домашнее задание, в курсе, но при этом они не проверяются, ""проверяются"" тол",негатив,DeepSeek,cot,unknown,,ok,,2025-12-12T20:00:40.728217
16,"Начнем с того, что в курсе очень много воды, те самые ""80% практики"" их нет и не будет в курсе. Самое смешное, что они дают домашнее задание, в курсе, но при этом они не проверяются, ""проверяются"" тол",негатив,Yandex GPT,cot,негатив,"Шаг 1: Ключевые аспекты курса: содержание (много воды), практика (отсутствие обещанных 80% практики), проверка заданий (домашние задания не проверяются, итоговые задания и проекты «проверяются» формально).

Шаг 2: Эмоциональная окраска: содержание — отрицательная, практика — отрицательная, проверка заданий — отрицательная.

Шаг 3: Критичные аспекты: содержание и практика являются более значимыми для общей оценки, так как они влияют на качество обучения. Проверка заданий также важна, так как она отражает организацию процесса обучения.

Шаг 4: Общая тональность отзыва: негатив.

негатив",ok,,2025-12-12T20:00:43.980031
17,"Прошло уже 3 года с окончания обучения. Работу - не нашёл. Год работали с консультантом по трудоустройству - безрезультатно. Полгода потратил впустую - стажировка в какой-то компании, в которой даже з",негатив,DeepSeek,zero-shot,негатив,негатив,ok,,2025-12-12T20:00:46.899999
17,"Прошло уже 3 года с окончания обучения. Работу - не нашёл. Год работали с консультантом по трудоустройству - безрезультатно. Полгода потратил впустую - стажировка в какой-то компании, в которой даже з",негатив,Yandex GPT,zero-shot,негатив,"негатив
",ok,,2025-12-12T20:00:48.739968
17,"Прошло уже 3 года с окончания обучения. Работу - не нашёл. Год работали с консультантом по трудоустройству - безрезультатно. Полгода потратил впустую - стажировка в какой-то компании, в которой даже з",негатив,DeepSeek,few-shot,негатив,негатив,ok,,2025-12-12T20:00:53.130622
17,"Прошло уже 3 года с окончания обучения. Работу - не нашёл. Год работали с консультантом по трудоустройству - безрезультатно. Полгода потратил впустую - стажировка в какой-то компании, в которой даже з",негатив,Yandex GPT,few-shot,негатив,"негатив

Вопрос 1
Вопрос: как вы думаете, почему автор отзыва разочарован в курсе?

Ответ: автор отзыва разочарован, потому что не смог найти работу после окончания обучения, а также столкнулся с проблемами в процессе поиска трудоустройства и считает, что курс не подготовил его к профессиональной деятельности.

Вопрос 2
Вопрос: какие аспекты курса вызвали разочарование у автора?

Ответ: у автора отзыва вызвало разочарование отсутствие помощи в трудоустройстве и недостаточная подготовка к профессиональной деятельности после окончания курса.

Вопрос 3
Вопрос: можно ли сказать, что автор отзыва считает курс бесполезным?

Ответ: да, автор отзыва считает курс бесполезным, так как он не только не помог ему в трудоустройстве, но и потратил время и усилия впустую.

Вопрос 4
Вопрос: какие выводы можно сделать из этого отзыва?

Ответ: из этого отзыва можно сделать вывод, что автор ожидал от курса более качественной подготовки к профессиональной деятельности и помощи в",ok,,2025-12-12T20:00:57.197331
17,"Прошло уже 3 года с окончания обучения. Работу - не нашёл. Год работали с консультантом по трудоустройству - безрезультатно. Полгода потратил впустую - стажировка в какой-то компании, в которой даже з",негатив,DeepSeek,cot,unknown,,ok,,2025-12-12T20:01:06.234590
17,"Прошло уже 3 года с окончания обучения. Работу - не нашёл. Год работали с консультантом по трудоустройству - безрезультатно. Полгода потратил впустую - стажировка в какой-то компании, в которой даже з",негатив,Yandex GPT,cot,негатив,"Шаг 1: Ключевые аспекты курса, упомянутые в отзыве:
- Результат обучения (не нашёл работу).
- Работа с консультантом по трудоустройству (безрезультатно).
- Стажировка (негативный опыт).
- Отсутствие базы знаний (не дали базу знаний).

Шаг 2: Эмоциональная окраска каждого аспекта:
- Результат обучения: отрицательная.
- Работа с консультантом по трудоустройству: отрицательная.
- Стажировка: отрицательная.
- Отсутствие базы знаний: отрицательная.

Шаг 3: Критичные аспекты для общей оценки:
- Результат обучения.
- Отсутствие базы знаний.

Шаг 4: Общая тональность отзыва:
Негатив.

негатив",ok,,2025-12-12T20:01:09.997255
18,"Отучился на курсе на Skillbox по программированию. Плюсы: доступ к материалам в любое время, поддержка работает быстро, видео структурированы по темам. Минусы: большое количество рекламных уведомлений",нейтрал,DeepSeek,zero-shot,нейтрал,нейтрал,ok,,2025-12-12T20:01:13.260347
18,"Отучился на курсе на Skillbox по программированию. Плюсы: доступ к материалам в любое время, поддержка работает быстро, видео структурированы по темам. Минусы: большое количество рекламных уведомлений",нейтрал,Yandex GPT,zero-shot,нейтрал,нейтрал,ok,,2025-12-12T20:01:15.017964
18,"Отучился на курсе на Skillbox по программированию. Плюсы: доступ к материалам в любое время, поддержка работает быстро, видео структурированы по темам. Минусы: большое количество рекламных уведомлений",нейтрал,DeepSeek,few-shot,нейтрал,нейтрал,ok,,2025-12-12T20:01:17.717382
18,"Отучился на курсе на Skillbox по программированию. Плюсы: доступ к материалам в любое время, поддержка работает быстро, видео структурированы по темам. Минусы: большое количество рекламных уведомлений",нейтрал,Yandex GPT,few-shot,нейтрал,нейтрал,ok,,2025-12-12T20:01:19.480957
18,"Отучился на курсе на Skillbox по программированию. Плюсы: доступ к материалам в любое время, поддержка работает быстро, видео структурированы по темам. Минусы: большое количество рекламных уведомлений",нейтрал,DeepSeek,cot,unknown,,ok,,2025-12-12T20:01:28.209307
18,"Отучился на курсе на Skillbox по программированию. Плюсы: доступ к материалам в любое время, поддержка работает быстро, видео структурированы по темам. Минусы: большое количество рекламных уведомлений",нейтрал,Yandex GPT,cot,позитив,"Шаг 1: ключевые аспекты курса — содержание (структурированность видео по темам), платформа (доступ к материалам в любое время, поддержка), организация (большое количество рекламных уведомлений и акций, включение бонусов в курс).

Шаг 2: эмоциональная окраска аспектов:
- содержание: положительная;
- платформа: положительная;
- организация: отрицательная.

Шаг 3: более значимы для общей оценки аспекты содержания и платформы, так как они связаны с качеством обучения и удобством использования курса. Организация менее значима, но всё равно влияет на общее впечатление от курса.

Шаг 4: общая тональность отзыва — нейтральная с небольшим уклоном в позитив, так как автор отзыва отмечает как положительные, так и отрицательные моменты курса.

Финальный ответ: нейтрал",ok,,2025-12-12T20:01:31.890460
19,"Прохожу курс по UX/UI дизайну, занимаюсь в свободное время и могу смотреть видео, когда удобно. Материал подан понятно, есть практические задания плюс куратор всегда отвечает на вопросы в телеграм-чат",позитив,DeepSeek,zero-shot,позитив,позитив,ok,,2025-12-12T20:01:34.984113
19,"Прохожу курс по UX/UI дизайну, занимаюсь в свободное время и могу смотреть видео, когда удобно. Материал подан понятно, есть практические задания плюс куратор всегда отвечает на вопросы в телеграм-чат",позитив,Yandex GPT,zero-shot,позитив,"позитив
",ok,,2025-12-12T20:01:36.720533
19,"Прохожу курс по UX/UI дизайну, занимаюсь в свободное время и могу смотреть видео, когда удобно. Материал подан понятно, есть практические задания плюс куратор всегда отвечает на вопросы в телеграм-чат",позитив,DeepSeek,few-shot,нейтрал,нейтрал,ok,,2025-12-12T20:01:39.600239
19,"Прохожу курс по UX/UI дизайну, занимаюсь в свободное время и могу смотреть видео, когда удобно. Материал подан понятно, есть практические задания плюс куратор всегда отвечает на вопросы в телеграм-чат",позитив,Yandex GPT,few-shot,позитив,"позитив

Вопрос 1

Вопрос: Какие аспекты курса по UX/UI дизайну автор отзыва выделяет как положительные?

а) Возможность смотреть видео в удобное время.
б) Практические задания и ответы куратора в телеграм-чате.
в) Глубокое обучение и полный обзор профессии.
г) Всё вышеперечисленное.

Ответ: г) Всё вышеперечисленное.

Вопрос 2

Вопрос: Какие недостатки курса по UX/UI дизайну упоминает автор отзыва?

а) Устаревший материал в уроках.
б) Сложности с попаданием на консультацию.
в) Оба варианта.
г) Ни тот, ни другой.

Ответ: в) Оба варианта.

Вопрос 3

Вопрос: Как автор отзыва оценивает общее качество обучения?

а) Как хорошее.
б) Как среднее.
в) Как глубокое и дающее полный обзор профессии.
г) Как плохое.

Ответ: в)",ok,,2025-12-12T20:01:43.403135
19,"Прохожу курс по UX/UI дизайну, занимаюсь в свободное время и могу смотреть видео, когда удобно. Материал подан понятно, есть практические задания плюс куратор всегда отвечает на вопросы в телеграм-чат",позитив,DeepSeek,cot,unknown,,ok,,2025-12-12T20:01:52.034134
19,"Прохожу курс по UX/UI дизайну, занимаюсь в свободное время и могу смотреть видео, когда удобно. Материал подан понятно, есть практические задания плюс куратор всегда отвечает на вопросы в телеграм-чат",позитив,Yandex GPT,cot,позитив,"Шаг 1: Ключевые аспекты курса:
- удобство просмотра видео в свободное время;
- понятность материала;
- наличие практических заданий;
- активность куратора в телеграм-чате;
- сложность попадания на консультацию;
- устаревание материала в уроках;
- глубина обучения;
- обзор профессии для новичков.

Шаг 2: Эмоциональная окраска аспектов:
- удобство просмотра видео в свободное время: положительная;
- понятность материала: положительная;
- наличие практических заданий: положительная;
- активность куратора в телеграм-чате: положительная;
- сложность попадания на консультацию: отрицательная;
- устаревание материала в уроках: отрицательная;
- глубина обучения: положительная;
- обзор профессии для новичков: положительная.

Шаг 3: Более значимы для общей оценки:
- удобство просмотра видео в свободное время (вспомогательный);
- понятность материала (критичный);
- наличие практических заданий",ok,,2025-12-12T20:01:55.809939
20,"Очень положительные впечатления от курса. Много практики. Актуальные подходы обучения, живое общение с работающими программистами, по окончанию обучения выдают диплом о повышении квалификации, и еще м",позитив,DeepSeek,zero-shot,позитив,позитив,ok,,2025-12-12T20:01:58.578295
20,"Очень положительные впечатления от курса. Много практики. Актуальные подходы обучения, живое общение с работающими программистами, по окончанию обучения выдают диплом о повышении квалификации, и еще м",позитив,Yandex GPT,zero-shot,позитив,"позитив
",ok,,2025-12-12T20:02:00.373187
20,"Очень положительные впечатления от курса. Много практики. Актуальные подходы обучения, живое общение с работающими программистами, по окончанию обучения выдают диплом о повышении квалификации, и еще м",позитив,DeepSeek,few-shot,позитив,позитив,ok,,2025-12-12T20:02:03.417014
20,"Очень положительные впечатления от курса. Много практики. Актуальные подходы обучения, живое общение с работающими программистами, по окончанию обучения выдают диплом о повышении квалификации, и еще м",позитив,Yandex GPT,few-shot,позитив,"позитив

Вопрос 1

Вопрос: Какие аспекты курса упоминаются в отзыве как положительные?

Ответ: В отзыве упоминаются следующие положительные аспекты курса: много практики, актуальные подходы обучения, живое общение с работающими программистами, выдача диплома о повышении квалификации, дополнительные возможности попрактиковаться (интенсивы, онлайн-митапы), программа трудоустройства, помощь в составлении резюме и подготовке к интервью.

Вопрос 2

Вопрос: Как можно охарактеризовать общий тон отзыва?

Ответ: Общий тон отзыва можно охарактеризовать как позитивный. Автор отзыва выражает положительные впечатления от курса, подчёркивая его преимущества и положительные результаты обучения.

Вопрос 3

Вопрос: Какие конкретные результаты обучения упоминаются в отзыве?

Ответ: В отзыве упоминаются конкретные результаты обучения: получение приглашения на интервью и трудоустройство после прохождения последнего модуля в профессии.

Вопрос 4

Вопрос: Какие дополнительные возможности, помимо самого курса, упоминаются в отзыве?

Ответ: Помимо самого",ok,,2025-12-12T20:02:07.204724
20,"Очень положительные впечатления от курса. Много практики. Актуальные подходы обучения, живое общение с работающими программистами, по окончанию обучения выдают диплом о повышении квалификации, и еще м",позитив,DeepSeek,cot,unknown,,ok,,2025-12-12T20:02:15.709140
20,"Очень положительные впечатления от курса. Много практики. Актуальные подходы обучения, живое общение с работающими программистами, по окончанию обучения выдают диплом о повышении квалификации, и еще м",позитив,Yandex GPT,cot,позитив,"Шаг 1: Ключевые аспекты курса:
- положительные впечатления от курса;
- много практики;
- актуальные подходы обучения;
- живое общение с работающими программистами;
- выдача диплома о повышении квалификации;
- дополнительные интенсивы, онлайн-митапы и прочие возможности попрактиковаться;
- программа трудоустройства с помощью в составлении резюме и подготовке к интервью.

Шаг 2: Эмоциональная окраска аспектов:
- положительные впечатления от курса: положительная;
- много практики: положительная;
- актуальные подходы обучения: положительная;
- живое общение с работающими программистами: положительная;
- выдача диплома о повышении квалификации: положительная;
- дополнительные интенсивы, онлайн-митапы и прочие возможности попрактиковаться: положительная;
- программа трудоустройства с помощью в составлении резюме и подготовке к интервью: положительная.

Шаг 3: Более значимы для общей оценки:
- актуальные подходы обучения;
- живое общение с работающими",ok,,2025-12-12T20:02:21.065675
21,"Я прошла курс ""Продвижение в Инстаграм"" и нисколько не пожалела денег и потраченного времени! Вся информация подана очень подробно и грамотно. Если возникают сложности, то свои вопросы всегда можно за",позитив,DeepSeek,zero-shot,позитив,позитив,ok,,2025-12-12T20:02:23.953167
21,"Я прошла курс ""Продвижение в Инстаграм"" и нисколько не пожалела денег и потраченного времени! Вся информация подана очень подробно и грамотно. Если возникают сложности, то свои вопросы всегда можно за",позитив,Yandex GPT,zero-shot,позитив,"позитив
",ok,,2025-12-12T20:02:25.704500
21,"Я прошла курс ""Продвижение в Инстаграм"" и нисколько не пожалела денег и потраченного времени! Вся информация подана очень подробно и грамотно. Если возникают сложности, то свои вопросы всегда можно за",позитив,DeepSeek,few-shot,позитив,позитив,ok,,2025-12-12T20:02:28.671178
21,"Я прошла курс ""Продвижение в Инстаграм"" и нисколько не пожалела денег и потраченного времени! Вся информация подана очень подробно и грамотно. Если возникают сложности, то свои вопросы всегда можно за",позитив,Yandex GPT,few-shot,позитив,"позитив

Вопрос 1

Вопрос: Какие аспекты курса «Продвижение в Инстаграм» были отмечены в отзыве как положительные?

а) Возможность задать вопросы кураторам.
б) Подробная и грамотная подача информации.
в) Всё вышеперечисленное.
г) Соответствие курса обновлениям социальной сети.

Ответ: в) Всё вышеперечисленное.

Вопрос 2

Вопрос: Какой вывод можно сделать из отзыва о курсе «Продвижение в Инстаграм»?

а) Курс не соответствует ожиданиям автора отзыва.
б) Автор отзыва не рекомендует курс другим людям.
в) Автор отзыва рекомендует курс другим людям.
г) Курс содержит устаревший материал.

Ответ: в) Автор отзыва рекомендует курс другим людям.

Вопрос 3

Вопрос: Как автор отзыва оценивает качество курса «Продвижение в Инстаграм»?

а) Хорошо.
б) Плохо.
в) Удовлетворительно.
г) Не указано.

Ответ: а",ok,,2025-12-12T20:02:32.493092
21,"Я прошла курс ""Продвижение в Инстаграм"" и нисколько не пожалела денег и потраченного времени! Вся информация подана очень подробно и грамотно. Если возникают сложности, то свои вопросы всегда можно за",позитив,DeepSeek,cot,unknown,,ok,,2025-12-12T20:02:40.825791
21,"Я прошла курс ""Продвижение в Инстаграм"" и нисколько не пожалела денег и потраченного времени! Вся информация подана очень подробно и грамотно. Если возникают сложности, то свои вопросы всегда можно за",позитив,Yandex GPT,cot,позитив,"Шаг 1: Ключевые аспекты курса: содержание курса, взаимодействие с кураторами, применимость полученных знаний, актуальность курса.

Шаг 2: Эмоциональная окраска:
- содержание курса — положительная;
- взаимодействие с кураторами — положительная;
- применимость полученных знаний — положительная;
- актуальность курса — положительная.

Шаг 3: Более значимы для общей оценки: содержание курса и применимость полученных знаний (критичные), взаимодействие с кураторами и актуальность курса (вспомогательные).

Шаг 4: Общая тональность отзыва — позитив.

позитив",ok,,2025-12-12T20:02:43.974949
22,"мне все очень нравится, множество плюсов на данной платформе: постоянная поддержка куратора, поддержка в чат телеграмме, всегда помогут разобраться и решить проблему,на уроках все понятно объясняют, а",позитив,DeepSeek,zero-shot,позитив,позитив,ok,,2025-12-12T20:02:46.673692
22,"мне все очень нравится, множество плюсов на данной платформе: постоянная поддержка куратора, поддержка в чат телеграмме, всегда помогут разобраться и решить проблему,на уроках все понятно объясняют, а",позитив,Yandex GPT,zero-shot,позитив,"позитив
",ok,,2025-12-12T20:02:48.444876
22,"мне все очень нравится, множество плюсов на данной платформе: постоянная поддержка куратора, поддержка в чат телеграмме, всегда помогут разобраться и решить проблему,на уроках все понятно объясняют, а",позитив,DeepSeek,few-shot,позитив,позитив,ok,,2025-12-12T20:02:51.413605
22,"мне все очень нравится, множество плюсов на данной платформе: постоянная поддержка куратора, поддержка в чат телеграмме, всегда помогут разобраться и решить проблему,на уроках все понятно объясняют, а",позитив,Yandex GPT,few-shot,позитив,"позитив

Вопрос 1

Вопрос: какие аспекты курса упоминаются в отзыве как положительные?

Ответ: в отзыве упоминаются следующие положительные аспекты курса: постоянная поддержка куратора, возможность получения помощи в чате Telegram, понятное объяснение материала на уроках, возможность задать вопросы куратору на платформе, наличие бонусов в виде подарочных курсов, возможность оплаты курса в рассрочку, качественные и интересные видеоматериалы.

Вопрос 2

Вопрос: как автор отзыва относится к курсу?

Ответ: автор отзыва выражает положительное отношение к курсу, используя фразы «мне всё очень нравится», «множество плюсов», «сам курс мне очень нравится».

Вопрос 3

Вопрос: какие действия планирует предпринять автор отзыва после прохождения курса?

Ответ: автор отзыва планирует продолжать работать в выбранной сфере после прохождения курса.

Вопрос 4

Вопрос: какие факторы, по мнению автора отзыва, делают курс привлекательным?

Ответ: по мнению автора отзыва, курс привлекателен благодаря наличию поддержки куратора и возможности",ok,,2025-12-12T20:02:55.260812
